title,release_date,rating_count,rating_avg,movieId,movieIdx

Toy Story,1995-10-30 00:00:00+00:00,252,3.96,1,0

Jumanji,1995-12-15 00:00:00+00:00,5,3.20,2,1

Grumpier Old Men,1995-12-22 00:00:00+00:00,4,3.25,3,2

Waiting to Exhale,1995-12-22 00:00:00+00:00,16,2.75,4,3

Father of the Bride Part II,1995-02-10 00:00:00+00:00,4,2.00,5,4

Heat,1995-12-15 00:00:00+00:00,4,3.50,6,5

Sabrina,1995-12-15 00:00:00+00:00,57,3.39,7,6

Tom and Huck,1995-12-22 00:00:00+00:00,11,3.64,8,7

Sudden Death,1995-12-22 00:00:00+00:00,23,3.00,9,8

GoldenEye,1995-11-16 00:00:00+00:00,126,3.56,10,9

The American President,1995-11-17 00:00:00+00:00,7,2.86,11,10

Dracula: Dead and Loving It,1995-12-22 00:00:00+00:00,3,1.67,12,11

Balto,1995-12-22 00:00:00+00:00,5,3.40,13,12

Nixon,1995-12-22 00:00:00+00:00,3,4.67,14,13

Cutthroat Island,1995-12-22 00:00:00+00:00,5,3.40,15,14

Casino,1995-11-22 00:00:00+00:00,3,2.67,16,15

Sense and Sensibility,1995-12-13 00:00:00+00:00,3,3.67,17,16

Copycat,1995-10-27 00:00:00+00:00,1,2.00,22,17

Assassins,1995-10-06 00:00:00+00:00,28,3.21,23,18

Powder,1995-10-27 00:00:00+00:00,3,3.33,24,19

Leaving Las Vegas,1995-10-27 00:00:00+00:00,7,3.00,25,20

Othello,1995-12-15 00:00:00+00:00,12,4.00,26,21

Now and Then,1995-10-20 00:00:00+00:00,4,2.75,27,22

Persuasion,1995-09-27 00:00:00+00:00,6,3.00,28,23

The City of Lost Children,1995-05-16 00:00:00+00:00,44,4.05,29,24

Shanghai Triad,1995-04-30 00:00:00+00:00,4,4.25,30,25

Dangerous Minds,1995-08-11 00:00:00+00:00,46,3.35,31,26

Twelve Monkeys,1995-12-29 00:00:00+00:00,202,3.97,32,27

Wings of Courage,1996-09-18 00:00:00+00:00,4,3.75,33,28

Babe,1995-07-18 00:00:00+00:00,153,3.70,34,29

Carrington,1995-11-08 00:00:00+00:00,5,2.80,35,30

Dead Man Walking,1995-12-29 00:00:00+00:00,107,3.94,36,31

Across the Sea of Time,1995-10-20 00:00:00+00:00,6,3.33,37,32

It Takes Two,1995-11-17 00:00:00+00:00,3,4.33,38,33

Clueless,1995-07-19 00:00:00+00:00,123,3.62,39,34

"Cry, the Beloved Country",1995-12-15 00:00:00+00:00,8,3.38,40,35

Richard III,1995-12-29 00:00:00+00:00,26,3.85,41,36

Dead Presidents,1995-10-06 00:00:00+00:00,10,2.40,42,37

Restoration,1995-12-29 00:00:00+00:00,19,3.58,43,38

Mortal Kombat,1995-08-18 00:00:00+00:00,39,2.82,44,39

To Die For,1995-05-20 00:00:00+00:00,48,3.52,45,40

How To Make An American Quilt,1995-10-06 00:00:00+00:00,18,3.00,46,41

Se7en,1995-09-22 00:00:00+00:00,204,4.15,47,42

