userId,movieId,rating

1,164721,4

1,4551,2

1,121527,3

1,108685,1

1,146321,2

1,3496,2

1,104408,1

1,563,2

1,130208,2

1,139707,4

1,108192,2

1,101472,4

1,107713,4

1,93570,2

1,7581,2

1,2111,2

1,5146,2

1,655,3

1,489,3

1,411,2

1,314,5

1,1732,2

1,2076,5

1,152,2

1,118,2

1,1780,5

1,1360,4

1,312,5

1,249,5

1,86,4

1,1674,5

1,1206,5

1,108522,5

1,151733,5

1,7143,5

1,1198,4

1,5952,5

1,4014,5

1,1258,5

1,1197,3

1,45555,5

1,47,4

1,589,4

1,2571,4

1,356,5

1,112436,3

1,139080,5

1,134083,3

1,171915,5

1,61941,2

1,159369,5

1,33826,4

1,139857,4

1,164015,4

1,101979,3

1,173819,4

1,6702,3

1,122519,2

1,113,4

1,30,3

1,697,2

1,673,4

1,629,2

1,409,3

2536,165377,4

1616,2856,2

214,80806,5

1501,147222,2

2153,130412,2

345,174451,4

3509,139074,2

1365,70833,5

3073,58520,1

2622,109981,2

1379,158673,1

1899,4459,2

2474,113630,3

98,121841,5

343,76291,5

1099,176039,4

2399,7224,1

389,108200,2

3166,146052,2

2805,1929,5

1641,105453,2

3105,157867,4

2477,161346,1

4032,6236,5

3149,91360,1

3104,7178,2

3788,3442,4

746,87689,3

979,167102,5

3271,167500,5

342,150371,1

1152,120871,4

2413,94148,5

821,71697,5

1753,103446,3

3795,174579,2

3866,5553,4

3351,175211,5

3351,119163,1

2898,124418,3

3770,8776,1

3496,27223,3

2982,4948,2

3873,67888,3

3220,114359,3

2682,508,4

63,165901,4

491,110387,2

1941,158131,2

355,173827,5

962,169826,3

1419,3162,4

2185,133311,3

1131,158165,5

3297,165355,2

3021,167426,5

1126,8716,2

1986,154766,3

2488,74127,4

3183,117843,5

644,53282,2

2680,5936,3

572,72342,1

2488,3802,5

4032,1516,5

2294,175221,3

2072,5743,2

122,91028,1

2268,166312,2

1935,105918,3

1103,148392,4

2998,166580,1

2746,4126,4

1855,31619,5

1765,4121,1

985,122715,3

2952,8752,2

1698,159079,3

1453,58564,4

469,93782,1

599,60284,5

1774,95145,5

1679,151997,2

3634,174199,1

2522,163054,1

298,148426,4

1820,71817,3

3775,110966,2

985,85369,3

1794,143315,3

998,148036,5

3567,6949,4

3104,34648,3

1103,199,5

2201,125956,4

2468,172179,4

1033,142062,4

3342,4555,2

2635,103055,1

3209,77808,2

2168,164993,3

1112,172413,3

2855,2972,3

638,165381,4

3342,985,4

3407,93533,2

48,138532,1

3360,54988,3

1823,4701,3

3350,44427,4

1152,26248,1

2998,155677,2

2384,162834,5

2341,26313,5

1129,636,3

1712,2803,4

1131,5014,1

1175,123133,2

250,27253,2

1705,173351,5

2075,142242,4

2195,26714,5

425,152806,2

1890,143037,4

36,34437,3

3563,139183,4

147,99089,2

1935,152619,4

3474,80789,5

2626,145574,2

3105,6938,4

2638,149168,5

2108,80731,5

2201,4275,1

799,32773,2

2159,2715,5

1267,2733,5

4000,140908,2

185,148076,4

3955,168930,3

2062,168452,4

2542,165721,3

843,4862,2

3574,135526,5

3440,166036,5

210,8187,3

2746,153592,4

2474,160555,3

2167,72292,4

2299,106998,3

498,59590,1

1267,7265,5

3487,112116,2

4088,155106,1

861,120420,3

789,156525,3

402,132999,4

1038,3172,1

182,161082,1

746,138026,1

213,79463,5

1733,138006,5

789,93441,2

1546,154937,4

223,113238,1

2992,124725,3

1152,135873,1

572,126544,1

2344,158601,1

2803,54922,3

1705,143404,1

1820,3009,1

799,160028,4

337,113016,2

474,3070,3

3895,130046,4

1145,3553,1

1789,98963,4

609,153158,4

2019,1138,3

345,146200,3

1114,156795,1

407,93204,3

1119,174491,1

1252,82030,2

3396,108656,3

2516,148244,2

1801,5283,2

559,56515,3

1482,76182,5

2485,1963,5

3650,146388,2

1251,123596,5

2846,168006,3

2448,169700,4

760,46363,2

1065,149626,3

644,130976,4

1214,5246,2

3382,140757,2

715,176187,5

196,152848,4

1918,98766,4

2186,7135,3

167,26410,1

818,141536,5

2421,139397,5

2671,26056,4

1419,152998,2

2951,95167,3

2235,106747,2

1538,104457,1

2268,153488,3

1890,72919,4

3649,25860,5

2977,1592,1

1431,168470,5

2096,164941,1

3072,117314,1

3599,5524,3

1367,2274,2

1907,116223,3

4020,53752,1

1946,67896,2

2242,122944,4

3496,6740,2

3519,146182,5

213,127064,3

1973,140449,4

3195,104363,5

724,164441,2

3009,106403,5

3455,109207,5

3236,1357,3

2572,125365,4

3618,131172,3

891,111040,3

3643,6584,2

3758,170915,1

2101,6692,5

1882,134180,1

1714,152860,3

1139,153494,3

1284,62293,4

1753,102880,4

3407,84563,4

1975,136940,3

591,4940,1

223,95199,1

1038,173507,5

1774,125289,1

2795,7639,1

2728,27198,5

3248,108054,1

3771,115869,5

2846,40425,3

3861,165193,4

1655,160432,3

1823,1010,2

2792,25954,4

520,140353,2

210,8041,3

209,56479,3

3297,174157,1

1786,176235,4

2391,82300,1

2465,95135,1

1299,169192,4

796,104177,5

928,8945,1

3382,80808,1

3344,146303,1

1546,1581,5

3864,161678,4

278,113497,5

2542,51302,2

78,129514,5

979,175363,2

3437,106160,2

2236,1152,2

2863,115727,2

3635,1366,4

1267,87721,1

1991,6168,1

1328,55276,3

3237,154632,1

196,104331,2

1762,90666,1

1119,149336,2

838,121346,4

1103,136764,1

1878,6025,1

1497,3991,4

3237,133163,3

3363,142184,5

216,86300,1

2713,2682,4

345,1,4

118,173495,2

3270,167072,5

1704,173215,3

3918,91884,1

1454,145042,3

891,26674,4

2273,71685,4

1163,116285,4

769,110084,3

2372,110419,5

3618,31535,2

298,129372,1

3096,149448,2

2186,2708,2

2979,122262,4

916,96428,2

1399,154438,5

3270,144686,4

536,172021,5

2924,55255,2

547,3035,5

483,26267,4

1544,3342,2

1554,161490,2

1952,42730,5

399,226,3

313,137666,2

1504,107673,3

838,137016,4

1016,25841,2

609,157134,3

2130,153372,3

1590,133909,5

2663,27876,2

414,118974,2

2675,160271,3

1487,25942,5

216,172941,3

3073,163422,3

1823,2400,5

2183,133413,4

632,26184,3

374,160748,2

1737,95499,5

623,102131,1

1635,140647,1

3099,82536,2

807,175545,5

3382,1444,2

3556,150433,4

2208,168558,1

2587,78266,2

1368,105302,3

881,5985,1

3563,116716,4

23,136243,5

4091,167266,2

1907,164356,2

2846,155959,1

185,5089,4

4063,134643,5

35,165239,5

3393,30747,3

1879,112078,4

3474,26175,4

1546,32452,4

2247,100163,5

2728,133869,4

482,114565,3

1103,128784,3

979,140321,1

149,2349,1

2704,134785,1

595,120829,3

424,1426,1

1119,146501,4

2072,106022,1

2222,147312,2

1099,116991,2

3460,32836,3

2660,163420,2

3930,108407,5

3164,65567,1

286,7078,2

2992,2506,2

760,6267,1

2226,7215,3

2108,68495,2

3377,170795,2

3638,133677,3

3517,32419,3

1784,532,1

308,59594,4

3738,146034,1

2233,5606,5

2693,165115,5

1176,155673,3

3669,123979,5

2967,8203,3

313,172155,2

4000,116076,2

3131,128001,5

1099,114068,3

138,105020,4

1316,116491,4

2075,91323,3

1937,176061,1

536,3629,1

3104,139883,5

1204,24487,2

355,76063,3

1715,109788,4

1792,153917,5

3873,142174,5

1878,161806,1

2130,158695,3

1510,171517,1

1054,106111,1

389,127390,1

3568,153644,1

2804,178,2

820,85774,2

1296,142689,3

2294,132348,3

3721,142280,4

253,115376,1

2947,26724,2

180,157288,5

1946,87276,4

1231,170897,3

781,140235,5

3461,92477,5

2951,148301,3

826,86719,3

355,3751,3

3396,62799,1

3669,32415,3

1826,111443,5

340,137226,5

1284,168574,3

1325,103483,1

3945,115768,5

1089,128740,5

2181,167490,5

408,139104,4

2846,8875,1

3406,1257,1

2810,167882,1

1557,117342,2

2344,155820,5

48,74595,1

157,171917,1

3599,71973,1

3274,90488,4

167,140245,1

3240,95975,3

4023,108775,5

3067,127252,3

3757,27883,4

1777,162890,5

591,85354,1

1214,73148,5

1010,164901,4

2410,170111,1

1641,5300,2

2911,143436,4

2247,79718,3

2570,7767,4

2343,165061,4

3775,161632,3

1125,149404,2

3099,102201,4

44,746,1

793,5646,4

549,8790,2

2192,58282,1

953,132458,1

3593,70914,5

2010,148406,1

1166,73106,1

1952,26486,2

1419,8980,2

483,8602,1

3721,52283,2

3570,7094,3

356,161470,3

619,96501,2

343,2687,1

633,113037,1

1990,139642,4

862,7700,2

408,71164,5

340,121296,3

1123,6286,2

243,136208,2

862,27914,1

591,149530,5

2241,168920,1

3367,3829,1

1181,2707,4

2233,76729,2

883,139763,3

3577,26000,3

2421,107990,4

2343,168106,3

1478,172763,4

1794,161938,1

2815,162610,2

3380,164751,2
